Date,Open,High,Low,Close,Adj Close,Volume
10/16/2018,11.759615,11.817307,11.538462,11.634615,11.582649,89945200
10/17/2018,11.778846,12.076923,11.653846,11.721154,11.668802,86770400
10/18/2018,11.673077,11.951923,11.596154,11.903846,11.850677,84781000
10/19/2018,11.807693,12.240385,11.788462,12.076923,12.022982,90256900
10/22/2018,12.105769,12.144231,11.855769,11.903846,11.850677,52253200
10/23/2018,11.682693,12.25,11.615385,12.201923,12.147423,85160400
10/24/2018,12.221154,12.317307,11.673077,11.701923,11.649656,86694700
10/25/2018,11.730769,11.807693,11.269231,11.346154,11.295476,91770700
10/26/2018,11.144231,11.201923,10.740385,10.865385,10.816854,122317200
10/29/2018,10.990385,11.278846,10.509615,10.730769,10.68284,124642600
10/30/2018,10.153846,10.961538,9.490385,9.788462,9.74474,358775700
10/31/2018,9.788462,9.990385,9.423077,9.711538,9.668162,209953700
11/1/2018,9.625,9.836538,9.173077,9.211538,9.170395,245822000
11/2/2018,9.25,9.288462,8.721154,8.932693,8.892794,274055100
11/5/2018,9.028846,9.163462,8.913462,8.923077,8.883222,129364500
11/6/2018,9,9.173077,9,9.057693,9.017236,117445300
11/7/2018,9.086538,9.096154,8.788462,8.846154,8.806643,128981500
11/8/2018,8.788462,8.980769,8.701923,8.75,8.710918,168268600
11/9/2018,8.451923,8.615385,7.836538,8.25,8.213152,284483900
11/12/2018,8.096154,8.125,7.423077,7.682693,7.648377,254996400
11/13/2018,7.711538,8.701923,7.663462,8.278846,8.241868,214048600
11/14/2018,8.423077,8.509615,7.875,8,7.964268,176976500
11/15/2018,7.923077,8.269231,7.75,7.855769,7.820681,133613800
11/16/2018,7.769231,7.884615,7.432693,7.711538,7.677094,183673200
11/19/2018,7.682693,7.923077,7.490385,7.538462,7.504791,154000300
11/20/2018,7.375,7.557693,7.240385,7.355769,7.322915,149041800
11/21/2018,7.490385,7.625,7.432693,7.509615,7.476073,87820500
11/23/2018,7.480769,7.557693,7.259615,7.278846,7.246335,45209900
11/26/2018,7.317307,7.442307,6.980769,7.288462,7.255908,164993700
11/27/2018,7.201923,7.336538,7.086538,7.153846,7.121894,114823200
11/28/2018,7.105769,7.471154,7.086538,7.442307,7.409066,129279400
11/29/2018,7.355769,7.692307,7.201923,7.634615,7.600515,128318600
11/30/2018,7.365385,7.384615,7.115385,7.211538,7.179327,194566200
12/3/2018,7.25,7.644231,7.240385,7.509615,7.476073,135909800
12/4/2018,7.451923,7.509615,7,7,6.968734,138662900
12/6/2018,6.923077,7.105769,6.875,7.067307,7.035741,117484300
12/7/2018,7.019231,7.096154,6.721154,6.740385,6.710279,119059300
12/10/2018,6.701923,6.846154,6.490385,6.663462,6.633699,117355400
12/11/2018,6.769231,6.855769,6.403846,6.5,6.470968,129563800
12/12/2018,6.576923,6.759615,6.442307,6.451923,6.423105,110052800
12/13/2018,7.201923,7.211538,6.846154,6.923077,6.892155,215573200
12/14/2018,6.807693,6.971154,6.730769,6.826923,6.79643,133952700
12/17/2018,6.817307,6.951923,6.740385,6.875,6.844293,134920300
12/18/2018,6.903846,7.336538,6.884615,7,6.968734,152644400
12/19/2018,7.346154,7.644231,7.259615,7.365385,7.342577,228253100
12/20/2018,7.355769,7.519231,7.076923,7.153846,7.131694,189647700
12/21/2018,7.038462,7.163462,6.826923,6.875,6.853712,193077300
12/24/2018,6.788462,6.855769,6.634615,6.653846,6.633243,72810800
12/26/2018,6.721154,7.125,6.509615,7.105769,7.083766,135032100
12/27/2018,6.903846,6.990385,6.682693,6.990385,6.968739,124569700
12/28/2018,6.913462,7.355769,6.913462,7.221154,7.198793,126537600
12/31/2018,7.230769,7.326923,7.067307,7.278846,7.256308,112695900
1/2/2019,7.173077,7.865385,7.125,7.740385,7.716417,134528200
1/3/2019,7.711538,7.884615,7.480769,7.75,7.726003,127866900
1/4/2019,7.875,7.942307,7.673077,7.913462,7.888958,124887100
1/7/2019,8.221154,8.451923,7.971154,8.403846,8.377824,186871700
1/8/2019,8.567307,8.692307,8.192307,8.230769,8.205283,152859600
1/9/2019,8.192307,8.423077,7.865385,8.173077,8.147769,120958500
1/10/2019,8.173077,8.605769,8.163462,8.596154,8.569535,116835100
1/11/2019,8.528846,8.605769,8.384615,8.596154,8.569535,83896000
1/14/2019,8.471154,8.653846,8.423077,8.557693,8.531194,84945200
1/15/2019,8.567307,8.586538,8.365385,8.394231,8.368239,97820500
1/16/2019,8.375,8.653846,8.326923,8.634615,8.607879,87636300
1/17/2019,8.557693,8.836538,8.413462,8.788462,8.761249,110023800
1/18/2019,8.875,8.894231,8.682693,8.711538,8.684563,96443800
1/22/2019,8.634615,8.644231,8.230769,8.326923,8.301139,112498800
1/23/2019,8.355769,8.5,8.278846,8.394231,8.368239,75281300
1/24/2019,8.298077,8.625,8.278846,8.442307,8.416165,93944800
1/25/2019,8.509615,8.855769,8.5,8.807693,8.78042,116798800
1/28/2019,8.634615,8.653846,8.413462,8.586538,8.55995,95301300
1/29/2019,8.557693,8.778846,8.317307,8.557693,8.531194,119046400
1/30/2019,8.634615,8.923077,8.538462,8.75,8.722906,89891900
1/31/2019,9.557693,10.355769,9.384615,9.769231,9.73898,362585000
2/1/2019,9.807693,10.028846,9.576923,9.798077,9.767737,164488200
2/4/2019,9.875,9.942307,9.711538,9.817307,9.786908,107373600
2/5/2019,9.855769,10.240385,9.778846,10.221154,10.189505,106936000
2/6/2019,10.259615,10.490385,10.028846,10.067307,10.036134,125305900
2/7/2019,10.019231,10.038462,9.586538,9.673077,9.643125,113052300
2/8/2019,9.625,9.711538,9.173077,9.432693,9.403484,123291400
2/11/2019,9.490385,9.759615,9.451923,9.644231,9.614368,73515000
2/12/2019,9.682693,9.759615,9.528846,9.596154,9.56644,69807100
2/13/2019,9.596154,10.019231,9.567307,9.971154,9.940279,102894400
